CODCNH,NOMBRE,CODPOSTAL,NCAMAS,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,OBSERVACIONES,CCAA,PROVINCIA,MUNICIPIO,FINALIDAD,PATRIMONIAL,FUNCIONALIDAD,AÑO
030036,CLÍNICA VISTAHERMOSA GRUPO HLA,03015,106,False,False,S,,True,katja.smudde@grupohla.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
030041,VITHAS HOSPITAL PERPETUO INTERNACIONAL,03013,103,False,False,S,,True,perpetuosocorro@perpetuosocorro.nehos.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
030067,HOSPITAL VIRGEN DE LOS LIRIOS,03804,305,False,False,N,,False,falip_ros@gva.es,,VALENCIA,ALICANTE,Alcoy/Alcoi,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030089,SANATORIO SAN JORGE S.L.,03802,26,False,False,N,,True,administracion@sanatoriosanjorge.com,,VALENCIA,ALICANTE,Alcoy/Alcoi,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
030092,HOSPITAL CLÍNICA BENIDORM,03501,166,False,False,N,,True,hospital@clinicabenidorm.com,,VALENCIA,ALICANTE,Benidorm,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
030128,HOSPITAL SAN CARLOS DE DENIA GRUPO HLA,03700,31,False,False,N,,False,pedro.esteban@grupohla.com,,VALENCIA,ALICANTE,Dénia,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
030152,HOSPITAL GENERAL UNIVERSITARIO DE ELCHE,03203,492,False,False,N,,False,secgerencia_elx@gva.es,,VALENCIA,ALICANTE,Elche/Elx,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030165,HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD,03600,513,False,False,N,,False,izquierdo_alf@gva.es,,VALENCIA,ALICANTE,Elda,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030187,HOSPITAL SANT VICENT DEL RASPEIG,03690,179,False,False,N,,False,hospitalsanvicente@gva.es,,VALENCIA,ALICANTE,San Vicente del Raspeig/Sant Vicent del Raspeig,GERIATRÍA Y/O LARGA ESTANCIA,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030190,SANATORIO SAN FRANCISCO DE BORJA FONTILLES,03791,96,False,False,N,,False,fontilles@fontilles.org,,VALENCIA,ALICANTE,"Vall de Laguar, la",GERIATRÍA Y/O LARGA ESTANCIA,PRIVADA,OTRO PRIVADO-BENÉFICO,2019
030204,HOSPITAL MARINA BAIXA DE LA VILA JOIOSA,03570,286,False,False,N,,True,louis_ros@gva.es,,VALENCIA,ALICANTE,"Villajoyosa/Vila Joiosa, la",GENERAL,CONCIERTO,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030211,HOSPITAL VEGA BAJA DE ORIHUELA,03314,361,False,False,N,,False,,,VALENCIA,ALICANTE,Orihuela,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030226,"HOSPITAL INTERNACIONAL MEDIMAR, S.A.",03016,66,False,False,S,,False,info@hospitalmedimar.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
030232,HOSPITAL PSIQUIÁTRICO PENITENCIARIO DE FONTCALENT,03113,432,False,False,S,,False,director.alicantep@dgip.mir.es,,VALENCIA,ALICANTE,Alicante/Alacant,PSIQUIÁTRICO,PUBLICA,ADMINISTRACIÓN PENITENCIARIA,2019
030250,HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE,03550,396,False,False,N,,False,fernandez_asu@gva.es,,VALENCIA,ALICANTE,Sant Joan d'Alacant,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030279,CENTRO MÉDICO ACUARIO,03778,19,True,False,N,,False,acuario@acuario.org,,VALENCIA,ALICANTE,Beniarbeig,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
030298,HOSPÌTAL QUIRONSALUD TORREVIEJA,03184,132,False,False,N,,True,antonio.domenech@quironsalud.es,,VALENCIA,ALICANTE,Torrevieja,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
030328,HOSPITAL IMED LEVANTE,03503,100,False,False,S,,True,info@hospitaldelevante.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
030339,HOSPITAL UNIVERSITARIO DE TORREVIEJA,03186,269,False,False,N,,False,jdzafrilla@torrevieja-salud.com,Concesión Administrativa a Entidad Privada,VALENCIA,ALICANTE,Torrevieja,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030340,HOSPITAL DE DENIA,03700,266,False,False,N,,False,gerencia@marinasalud.es,Concesión Administrativa a Entidad Privada,VALENCIA,ALICANTE,Dénia,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030351,HOSPITAL LA PEDRERA,03700,107,False,False,N,,False,direccion_hlapedrera@gva.es,,VALENCIA,ALICANTE,Dénia,GERIATRÍA Y/O LARGA ESTANCIA,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030362,CENTRO DE REHABILITACIÓN NEUROLÓGICA CASAVERDE,03110,40,False,False,N,,False,recepcion.muchamiel@grupocasaverde.com,,VALENCIA,ALICANTE,Mutxamel,REHABILITACIÓN PSICOFÍSICA,PRIVADA,PRIVADO NO BENÉFICO,2019
030373,HOSPITAL UNIVERSITARIO VINALOPO,03293,214,False,False,N,,False,narques@vinaloposalud.com,Concesión Administrativa a Entidad Privada,VALENCIA,ALICANTE,Elche/Elx,GENERAL,PUBLICA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030384,HOSPITAL IMED ELCHE,03203,98,False,False,N,,True,oaparisi@imedhospitales.com,,VALENCIA,ALICANTE,Elche/Elx,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
040059,HOSPITAL VIRGEN DEL MAR,04009,76,False,False,S,,True,virgendelmar@vithas.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
040084,HOSPITAL LA INMACULADA,04600,184,False,False,N,,False,h.inmaculada.sspa@juntadeandalucia.es,,ANDALUCÍA,ALMERÍA,Huércal-Overa,GENERAL,PUBLICA,SERVICIO ANDALUZ DE SALUD,2019
040097,HOSPITAL UNIVERSITARIO TORRECÁRDENAS,04009,763,False,False,S,,False,,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,PUBLICA,SERVICIO ANDALUZ DE SALUD,2019
040101,HOSPITAL MEDITERRÁNEO,04007,89,False,False,S,,True,jarojas@asisa.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
040118,HOSPITAL DE PONIENTE,04700,273,False,False,N,,False,sugerencias@ephpo.es,,ANDALUCÍA,ALMERÍA,"Ejido, El",GENERAL,PUBLICA,SERVICIO ANDALUZ DE SALUD,2019
040127,HOSPITAL DE ALTA RESOLUCIÓN EL TOYO,04131,44,False,False,S,,False,sugerencias@ephpo.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,PUBLICA,COMUNIDAD AUTÓNOMA,2019
050049,CLÍNICA SANTA TERESA,05005,33,False,False,S,,True,direccion@clinicasantateresa.es,,CASTILLA Y LEÓN,ÁVILA,Ávila,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
050061,COMPLEJO ASISTENCIAL DE AVILA,05071,430,False,False,S,,False,gerente.hnss@saludcastillayleon.es,,CASTILLA Y LEÓN,ÁVILA,Ávila,GENERAL,PUBLICA,SANIDAD CASTILLA Y LEÓN-SACYL,2019
050072,HOSPITAL DE SALUD MENTAL CASTA SALUD ARÉVALO,05200,80,True,False,N,,True,direccionarevalo@castasalud.com,,CASTILLA Y LEÓN,ÁVILA,Arévalo,PSIQUIÁTRICO,CONCIERTO,PRIVADO NO BENÉFICO,2019
060016,COMPLEJO HOSPITALARIO UNIVERSITARIO DE BADAJOZ,06080,915,False,False,S,,False,admision.hifc@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,PUBLICA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060080,"HOSPITAL ""FUNDACIÓN SAN JUAN DE DIOS DE EXTREMADURA""",06200,105,False,False,N,,True,almendralejosjd.es,,EXTREMADURA,BADAJOZ,Almendralejo,GERIATRÍA Y/O LARGA ESTANCIA,CONCIERTO,PRIVADO-BENÉFICO (IGLESIA),2019
060135,CENTRO SOCIOSANITARIO DE MÉRIDA,06800,270,False,False,N,,False,csanitario.merida@gobex.es,D. Funcional: SEPAD (Ente Público adscrito a la Consejería de Sanidad y Dependencia).,EXTREMADURA,BADAJOZ,Mérida,PSIQUIÁTRICO,PUBLICA,COMUNIDAD AUTÓNOMA,2019
060140,HOSPITAL QUIRÓNSALUD SANTA JUSTA,06700,29,False,False,N,,True,serena@quironsalud.es,,EXTREMADURA,BADAJOZ,Villanueva de la Serena,QUIRÚRGICO,CONCIERTO,PRIVADO NO BENÉFICO,2019
060172,HOSPITAL QUIRONSALUD CLIDEBA,06011,73,False,False,S,,True,clideba@quironsalud.es,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
060188,HOSPITAL PARQUE VIA DE LA PLATA,06300,9,False,False,N,,True,dadministracion.ext@parquehospitales.es,,EXTREMADURA,BADAJOZ,Zafra,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
060219,COMPLEJO HOSPITALARIO LLERENA-ZAFRA,06900,227,False,False,N,,False,gerente.llerena@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Llerena,GENERAL,PUBLICA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060253,COMPLEJO H. DON BENITO-VVA DE LA SERENA,06400,320,False,False,N,,False,gerente.donbenito@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Don Benito,GENERAL,PUBLICA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060264,COMPLEJO HOSPITALARIO DEL ÁREA DE SALUD DE MÉRIDA,06800,381,False,False,N,,False,julian.garciam@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Mérida,GENERAL,PUBLICA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060275,CASAVERDE. CENTRO DE REHABILITACIÓN NEUROLÓGICO DE EXTREMADURA,06800,100,False,False,N,,True,direccion.merida@grupocasaverde.com,,EXTREMADURA,BADAJOZ,Mérida,REHABILITACIÓN PSICOFÍSICA,CONCIERTO,PRIVADO NO BENÉFICO,2019
060286,CLÍNICA EXTREMEÑA DE SALUD,06006,20,False,False,S,,True,,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
060297,HOSPITAL PARQUE VEGAS ALTAS,06400,21,False,False,N,,True,dadministracion.ext@parquehospitales.es,,EXTREMADURA,BADAJOZ,Don Benito,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
070048,HOSPITAL GENERAL DE MALLORCA,07012,100,False,False,S,,True,andres.recober@ssib.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GERIATRÍA Y/O LARGA ESTANCIA,CONCIERTO,COMUNIDAD AUTÓNOMA,2019
070051,HOSPITAL PSIQUIÀTRIC,07010,168,False,False,S,,True,andres.recober@ssib.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,PSIQUIÁTRICO,CONCIERTO,COMUNIDAD AUTÓNOMA,2019
070064,CLÍNICA MUTUA BALEAR,07012,40,False,False,S,,True,rmunyoz@mutuabalear.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,TRAUMATOLOGÍA Y/O REHABILITACIÓN,CONCIERTO,MATEP,2019
070070,HOSPITAL DE LA CRUZ ROJA ESPAÑOLA,07004,73,False,False,S,,True,tacaji@cruzroja.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,MÉDICO-QUIRÚRGICO,CONCIERTO,PRIVADO-BENÉFICO (CRUZ ROJA),2019
070086,HOSPITAL SANT JOAN DE DEU,07007,200,False,False,S,,True,vlj@ohsjd.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,MÉDICO-QUIRÚRGICO,CONCIERTO,PRIVADO-BENÉFICO (IGLESIA),2019
070099,CLÍNICA ROTGER,07012,186,False,False,S,,False,bartolome.crespi@quironsalud.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
070110,CLINICA JUANEDA,07014,196,False,False,S,,False,mariajose.sabariego@clinicajuaneda.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
070131,POLICLÍNICA MIRAMAR,07011,206,False,False,S,,True,jose.crespi@juaneda.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
070162,HOSPITAL JOAN MARCH,07110,106,False,False,N,,True,jaime.ripoll@hsll.es/smoreno@hsll.es,,BALEARES,ILLES BALEARS,Bunyola,GERIATRÍA Y/O LARGA ESTANCIA,CONCIERTO,COMUNIDAD AUTÓNOMA,2019
070184,HOSPITAL CAN MISSES,07800,245,False,False,N,,False,amatilla@asef.es,,BALEARES,ILLES BALEARS,Eivissa,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070197,HOSPITAL RESIDENCIA ASISTIDA CAS SERRES,07800,5,False,False,N,,True,matur@conselldeivissa.es,,BALEARES,ILLES BALEARS,Eivissa,OTRA FINALIDAD,CONCIERTO,DIPUTACIÓN O CABILDO,2019
070201,"POLICLÍNICA NUESTRA SEÑORA DEL ROSARIO, S.A.",07800,70,False,False,N,,True,rrhh2@grupopoliclinica.es,,BALEARES,ILLES BALEARS,Eivissa,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
070244,CLÍNICA JUANEDA MENORCA,07760,41,False,False,N,,True,jluis.bosch@juaneda.es,,BALEARES,ILLES BALEARS,Ciutadella de Menorca,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
070260,HOSPITAL GENERAL DE MURO,07458,85,False,False,N,,True,miquel.torrens@juaneda.es,,BALEARES,ILLES BALEARS,Muro,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
070295,CLINICA JUANEDA MAHON,07703,18,False,False,N,,False,jluis.bosch@juaneda.es,,BALEARES,ILLES BALEARS,Maó-Mahón,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
070309,HOSPITAL MANACOR,07500,224,False,False,N,,False,gerenciafhm@hmanacor.org,,BALEARES,ILLES BALEARS,Manacor,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070333,HOSPITAL SON LLATZER,07198,419,False,False,S,,False,jaime.ripoll@hsll.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070344,HOSPITAL QUIRÓNSALUD PALMAPLANAS,07010,169,False,False,S,,True,info.pln@palmaplanas.com,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
070366,HOSPITAL DE FORMENTERA,07860,12,False,False,N,,False,asanzi@asef.es,,BALEARES,ILLES BALEARS,Formentera,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070377,HOSPITAL COMARCAL D'INCA,07300,165,False,False,N,,False,antoni.colombas@hcin.es,,BALEARES,ILLES BALEARS,Inca,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070388,HOSPITAL MATEU ORFILA,07703,142,False,False,N,,False,gerencia@hgmo.es,,BALEARES,ILLES BALEARS,Maó-Mahón,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070399,HOSPITAL UNIVERSITARI SON ESPASES,07120,839,False,False,S,,False,benigno.marin@ssib.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,PUBLICA,SERVEI DE SALUT DE LES ILLES BALEARS- IB-SALUT,2019
070412,HOSPITAL DE LLEVANT,07680,70,False,False,N,,False,msoteras@hllevant.com,,BALEARES,ILLES BALEARS,Manacor,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
070423,HOSPITAL CLINIC BALEAR,07609,34,False,False,N,,False,hosrec.bal@quironsalud.es,,BALEARES,ILLES BALEARS,Llucmajor,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
070434,CLÍNICA LUZ DE PALMA,07014,38,False,False,S,,False,mateo@clincaluz.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080044,"HOSPITAL CLÍNIC DE BARCELONA, SEU SABINO DE ARANA",08028,130,False,False,S,,True,asalgot@medicina.ub.es,,CATALUÑA,BARCELONA,Barcelona,MATERNO-INFANTIL,CONCIERTO,OTROS PÚBLICOS,2019
080057,HOSPITAL DEL MAR.,08003,470,False,False,S,,True,jvarela@imas.imim.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,OTROS PÚBLICOS,2019
080060,HOSPITAL DE L'ESPERANÇA.,08024,161,False,False,S,,True,jvalera@imas.imim.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,OTROS PÚBLICOS,2019
080109,HOSPITAL CLÍNIC DE BARCELONA,08036,844,False,False,S,,True,asalgot@medicina.ub.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,OTROS PÚBLICOS,2019
080116,HOSPITAL FREMAP BARCELONA,08006,62,False,False,S,,False,admision_barcelona@fremap.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,MATEP,2019
080137,CENTRE DE PREVENCIÓ I REHABILITACIÓ ASEPEYO,08174,138,False,False,N,,False,asepeyo@asepeyo.es,,CATALUÑA,BARCELONA,Sant Cugat del Vallès,GENERAL,PUBLICA,MATEP,2019
080142,CLÍNICA MC COPÈRNIC,08006,60,False,False,S,,False,info@mc-mutual.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,MATEP,2019
080155,CLÍNICA MC LONDRES,08029,22,False,False,S,,False,info@mc-mutual.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,MATEP,2019
080168,HOSPITAL EGARSAT SANT HONORAT,08022,14,False,False,S,,False,egarsat@egarsat.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PUBLICA,MATEP,2019
080174,HOSPITAL DOS DE MAIG,08025,229,False,False,S,,True,gerencia.bcn@consorcicreuroja.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,OTROS PÚBLICOS,2019
080180,HOSPITAL EL PILAR,08006,186,False,False,S,,False,silvia.altisen@quironsalud.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080214,HOSPITAL SANT RAFAEL,08035,213,False,False,S,,True,hsrafael@comb.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,PRIVADO-BENÉFICO (IGLESIA),2019
080229,CLÍNICA NOSTRA SENYORA DEL REMEI,08024,134,False,False,S,,False,clinica.remedio@irsjg.org,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO-BENÉFICO (IGLESIA),2019
080235,CLÍNICA SAGRADA FAMÍLIA,08022,150,False,False,S,,False,info@clinicasagradafamilia.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080253,HOSPITAL MARE DE DÉU DE LA MERCÈ,08042,113,False,False,S,,False,administracion@hhscjmerced.com,,CATALUÑA,BARCELONA,Barcelona,PSIQUIÁTRICO,PRIVADA,PRIVADO-BENÉFICO (IGLESIA),2019
080266,CLÍNICA  SOLARIUM,08035,44,False,False,S,,False,,,CATALUÑA,BARCELONA,Barcelona,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADA,PRIVADO NO BENÉFICO,2019
080291,HOSPITAL DE LA SANTA CREU I SANT PAU,08041,644,False,False,S,,True,gerenciafgs@santpau.cat,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,OTRO PRIVADO-BENÉFICO,2019
080312,NOU HOSPITAL EVANGÈLIC,08024,116,False,False,S,,False,ablanco@nouhospitalevangelic.com,,CATALUÑA,BARCELONA,Barcelona,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADA,OTRO PRIVADO-BENÉFICO,2019
080327,HOSPITAL DE NENS DE BARCELONA,08009,18,False,False,S,,False,informacó@hospitaldenens.com,,CATALUÑA,BARCELONA,Barcelona,INFANTIL,PRIVADA,OTRO PRIVADO-BENÉFICO,2019
080333,INSTITUT GUTTMANN,08916,152,False,False,N,,True,gerencia@guttmann.com,,CATALUÑA,BARCELONA,Badalona,TRAUMATOLOGÍA Y/O REHABILITACIÓN,CONCIERTO,OTRO PRIVADO-BENÉFICO,2019
080348,FUNDACIÓ PUIGVERT - IUNA,08025,124,False,False,S,,True,dirgeneral@fundacio-puigvert.es,,CATALUÑA,BARCELONA,Barcelona,OTROS MONOGRÁFICOS,CONCIERTO,OTRO PRIVADO-BENÉFICO,2019
080351,HESTIA PALAU.,08025,317,False,False,S,,False,secretaria@csspalau.com,,CATALUÑA,BARCELONA,Barcelona,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADA,PRIVADO NO BENÉFICO,2019
080364,HOSPITAL UNIVERSITARI SAGRAT COR,08029,367,False,False,S,,True,gerencia@hscor.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,PRIVADO NO BENÉFICO,2019
080370,CLÍNICA CORACHAN,08017,162,False,False,S,,False,tlegido@corachan.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080386,CLÍNICA TRES TORRES,08017,64,False,False,S,,False,info@clinicatrestorres.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080399,HOSPITAL QUIRÓNSALUD BARCELONA,08023,192,False,False,S,,False,direccion.cqb@quiron.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080403,CENTRE  MÈDIC  DELFOS,08023,264,False,False,S,,False,comunicació@delfos.cat,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080410,CENTRE MÈDIC SANT JORDI DE SANT ANDREU,08030,57,False,False,S,,False,clinicasantjordi@csantjordi.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080431,HOSPITAL PLATÓ,08006,168,False,False,S,,True,hospital@hospitalplato.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,CONCIERTO,OTRO PRIVADO-BENÉFICO,2019
080446,HOSPITAL UNIVERSITARI QUIRÓN DEXEUS,08028,170,False,False,S,,False,informacion@idexeus.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080478,"CENTRO MÉDICO TEKNON,  GRUPO QUIRONSALUD",08022,285,False,False,S,,False,dirgeneral.tkn@quironsalud.es,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
080484,HOSPITAL  DE  BARCELONA,08034,350,False,False,S,,False,virginia@scias.com,,CATALUÑA,BARCELONA,Barcelona,GENERAL,PRIVADA,PRIVADO NO BENÉFICO,2019
