CODCNH,NOMBRE,DIRECCION,TELEFONO,TELEFONO2,TELEFAX,CODPOSTAL,NCAMAS,ACREDOCENT,ESCOMPLE,FORCOMPLE,CODIDCOM,ALTA,CERRADO,CAPITAL,CIERREFECH,CONCIERTO,EMAIL,OBSERVACIONES,CCAA,PROVINCIA,MUNICIPIO,FINALIDAD,PATRIMONIAL,FUNCIONALIDAD,AÑO
020158,"CENTRO DE ATENCIÓN A LA SALUD MENTAL ""LA MILAGROSA""","TRAVESÍA DE LA IGUALDAD, S/N",967192350,,967248989,02006,0,S,N,S,020019,N,N,S,,N,,,CASTILLA-LA MANCHA,ALBACETE,Albacete,PSIQUIÁTRICO,DIPUTACIÓN O CABILDO,SERVICIO DE SALUD DE CASTILLA-LA MANCHA-SESCAM,2019
030015,HOSPITAL GENERAL UNIVERSITARIO DE ALICANTE,"AVENIDA PINTOR BAEZA, 12",965933000,,965245971,03010,794,S,N,N,,N,N,S,,N,mena_lui@gva.es,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030036,CLÍNICA VISTAHERMOSA GRUPO HLA,"AVENIDA DENIA, 103",965268000,,965262405,03015,106,S,N,N,,N,N,S,,S,katja.smudde@grupohla.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030041,VITHAS HOSPITAL PERPETUO INTERNACIONAL,"PLAZA DOCTOR GÓMEZ ULLA, 15",965201100,,965144890,03013,103,N,N,N,,N,N,S,,S,perpetuosocorro@perpetuosocorro.nehos.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030067,HOSPITAL VIRGEN DE LOS LIRIOS,"POLÍGONO CARAMAXEL, S/N",965537400,,965537448,03804,305,S,N,N,,N,N,N,,N,falip_ros@gva.es,,VALENCIA,ALICANTE,Alcoy/Alcoi,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030089,SANATORIO SAN JORGE S.L.,"CALLE OLIVER, 55",965330400,,965330400,03802,26,N,N,N,,N,N,N,,S,administracion@sanatoriosanjorge.com,,VALENCIA,ALICANTE,Alcoy/Alcoi,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030092,HOSPITAL CLÍNICA BENIDORM,"AVENIDA ALFONSO PUCHADES, 8",965853850,,965864345,03501,166,S,N,N,,N,N,N,,S,hospital@clinicabenidorm.com,,VALENCIA,ALICANTE,Benidorm,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030128,HOSPITAL SAN CARLOS DE DENIA GRUPO HLA,"PARTIDA MADRIGUERES SUD, 8",965781550,,965789172,03700,31,N,N,N,,N,N,N,,N,pedro.esteban@grupohla.com,,VALENCIA,ALICANTE,Dénia,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030152,HOSPITAL GENERAL UNIVERSITARIO DE ELCHE,"CAMÍ ALMAZARA, 11",966616900,,966616707,03203,492,S,N,N,,N,N,N,,N,secgerencia_elx@gva.es,,VALENCIA,ALICANTE,Elche/Elx,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030165,HOSPITAL GENERAL UNIVERSITARIO DE ELDA-VIRGEN DE LA SALUD,"CARRETERA SAX, S/N",966989000,966989010,965398173,03600,513,S,N,N,,N,N,N,,N,izquierdo_alf@gva.es,,VALENCIA,ALICANTE,Elda,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030187,HOSPITAL SANT VICENT DEL RASPEIG,"CALLE LILLO JUAN, 137",965907700,,965907703,03690,179,N,N,N,,N,N,N,,N,hospitalsanvicente@gva.es,,VALENCIA,ALICANTE,San Vicente del Raspeig/Sant Vicent del Raspeig,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030190,SANATORIO SAN FRANCISCO DE BORJA FONTILLES,"CARRETERA ORBA-VALL DE LAGUAR, KM 4",965583350,,965583376,03791,96,N,N,N,,N,N,N,,N,fontilles@fontilles.org,,VALENCIA,ALICANTE,"Vall de Laguar, la",GERIATRÍA Y/O LARGA ESTANCIA,OTRO PRIVADO BENÉFICO,OTRO PRIVADO-BENÉFICO,2019
030204,HOSPITAL MARINA BAIXA DE LA VILA JOIOSA,"AVENIDA ALCALDE EN JAUME BOTELLA MAYOR, 7",966859800,,966859900,03570,286,S,N,N,,N,N,N,,S,louis_ros@gva.es,,VALENCIA,ALICANTE,"Villajoyosa/Vila Joiosa, la",GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030211,HOSPITAL VEGA BAJA DE ORIHUELA,"CARRETERA ORIHUELA - ALMORADÍ, S/N",966749000,,966749069,03314,361,S,N,N,,N,N,N,,N,,,VALENCIA,ALICANTE,Orihuela,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030226,"HOSPITAL INTERNACIONAL MEDIMAR, S.A.","AVENIDA DENIA, 78",965162200,,965159038,03016,66,N,N,N,,N,N,S,,N,info@hospitalmedimar.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030232,HOSPITAL PSIQUIÁTRICO PENITENCIARIO DE FONTCALENT,"COMPLEJO CENTRO PENITENCIARIO FONTCALENT, 1",965102222,965101230,965101761,03113,432,N,N,N,,N,N,S,,N,director.alicantep@dgip.mir.es,,VALENCIA,ALICANTE,Alicante/Alacant,PSIQUIÁTRICO,MINISTERIO DE INTERIOR,ADMINISTRACIÓN PENITENCIARIA,2019
030250,HOSPITAL UNIVERSITARIO SAN JUAN DE ALICANTE,"CARRETERA NACIONAL 332, ALICANTE-VALENCIA, S/N",965169400,,965169520,03550,396,S,N,N,,N,N,N,,N,fernandez_asu@gva.es,,VALENCIA,ALICANTE,Sant Joan d'Alacant,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030279,CENTRO MÉDICO ACUARIO,"AVENIDA DEL VERGEL, 11",966476260,,966477115,03778,19,N,N,N,,S,N,N,,N,acuario@acuario.org,,VALENCIA,ALICANTE,Beniarbeig,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030298,HOSPÌTAL QUIRONSALUD TORREVIEJA,"PARTIDA DE LA LOMA, S/N",966921313,,966922706,03184,132,N,N,N,,N,N,N,,S,antonio.domenech@quironsalud.es,,VALENCIA,ALICANTE,Torrevieja,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030328,HOSPITAL IMED LEVANTE,"CALLE DR SANTIAGO RAMÓN Y CAJAL, 7",966878787,966878783,965861756,03503,100,N,N,N,,N,N,S,,S,info@hospitaldelevante.com,,VALENCIA,ALICANTE,Alicante/Alacant,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030339,HOSPITAL UNIVERSITARIO DE TORREVIEJA,"CARRETERA CV95 SAN MIGUEL DE SALINAS-TORREVIEJA PARTIDA LA CEÑUELA, S/N",965721200,,965721368,03186,269,S,N,N,,N,N,N,,N,jdzafrilla@torrevieja-salud.com,Concesión Administrativa a Entidad Privada,VALENCIA,ALICANTE,Torrevieja,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030340,HOSPITAL DE DENIA,"PARTIDA BENIADLÀ, S/N",966429000,,966427986,03700,266,S,N,N,,N,N,N,,N,gerencia@marinasalud.es,Concesión Administrativa a Entidad Privada,VALENCIA,ALICANTE,Dénia,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030351,HOSPITAL LA PEDRERA,"PARTIDA PLANA D'EST, 4",966467170,966467177,966467287,03700,107,N,N,N,,N,N,N,,N,direccion_hlapedrera@gva.es,,VALENCIA,ALICANTE,Dénia,GERIATRÍA Y/O LARGA ESTANCIA,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030362,CENTRO DE REHABILITACIÓN NEUROLÓGICA CASAVERDE,"CALLE PONENT, 15",965950711,,965950865,03110,40,N,N,N,,N,N,N,,N,recepcion.muchamiel@grupocasaverde.com,,VALENCIA,ALICANTE,Mutxamel,REHABILITACIÓN PSICOFÍSICA,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
030373,HOSPITAL UNIVERSITARIO VINALOPO,"TONICO SANSANO MORA, 14",966679800,,966632102,03293,214,N,N,N,,N,N,N,,N,narques@vinaloposalud.com,Concesión Administrativa a Entidad Privada,VALENCIA,ALICANTE,Elche/Elx,GENERAL,COMUNIDAD AUTÓNOMA,CONSELLERIA DE SANIDAD. G. VALENCIANA,2019
030384,HOSPITAL IMED ELCHE,"CALLE MAX PLANCK, S/N",966915151,966878783,966651341,03203,98,N,N,N,,N,N,N,,S,oaparisi@imedhospitales.com,,VALENCIA,ALICANTE,Elche/Elx,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
040010,HOSPITAL TORRECÁRDENAS,"PARAJE DE TORRECÁRDENAS, S/N",950016114,,950016120,04009,0,S,N,S,040097,N,S,S,,N,anna.torres.sspa@juntadeandalucia.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
040031,HOSPITAL DE LA CRUZ ROJA,"CTRA. DE RONDA, KM. 196",950017400,,950017453,04008,0,N,N,S,040097,N,N,S,,N,anna.torres.sspa@juntadeandalucia.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
040059,HOSPITAL VIRGEN DEL MAR,"CARRETERA DEL MAMÍ, KM.1",950210100,,950290625,04009,76,N,N,N,,N,N,S,,S,virgendelmar@vithas.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
040084,HOSPITAL LA INMACULADA,"AVDA. DRA. ANA PARRA, S/N",950029176,,950451040,04600,184,S,N,N,,N,N,N,,N,h.inmaculada.sspa@juntadeandalucia.es,,ANDALUCÍA,ALMERÍA,Huércal-Overa,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
040097,HOSPITAL UNIVERSITARIO TORRECÁRDENAS,"PARAJE DE TORRECÁRDENAS, S/N",950016114,,950016120,04009,763,S,S,N,,N,N,S,,N,,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
040101,HOSPITAL MEDITERRÁNEO,"NUEVA MUSA, S/N",950621063,,950260894,04007,89,N,N,N,,N,N,S,,S,jarojas@asisa.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
040118,HOSPITAL DE PONIENTE,"CRTA. DE ALMERIMAR, S/N",950022568,,950022602,04700,273,N,N,N,,N,N,N,,N,sugerencias@ephpo.es,,ANDALUCÍA,ALMERÍA,"Ejido, El",GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO ANDALUZ DE SALUD,2019
040127,HOSPITAL DE ALTA RESOLUCIÓN EL TOYO,CAMINO DE LA BOTICA S/N. RETAMAR,950158015,,950158020,04131,44,N,N,N,,N,N,S,,N,sugerencias@ephpo.es,,ANDALUCÍA,ALMERÍA,Almería,GENERAL,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,2019
050013,HOSPITAL NUESTRA SEÑORA DE SONSOLES,"AV. JUAN CARLOS I, S/N",920358000,,920358064,05071,0,S,N,S,050061,N,N,S,,N,gerente.hnss@saludcastillayleon.es,,CASTILLA Y LEÓN,ÁVILA,Ávila,GENERAL,SEGURIDAD SOCIAL,SANIDAD CASTILLA Y LEÓN-SACYL,2019
050034,HOSPITAL PROVINCIAL DE ÁVILA,"JESÚS DEL GRAN PODER, 42",920357200,,920357203,05003,0,N,N,S,050061,N,N,S,,N,gerente.hnss@saludcastillayleon.es,,CASTILLA Y LEÓN,ÁVILA,Ávila,GENERAL,COMUNIDAD AUTÓNOMA,SANIDAD CASTILLA Y LEÓN-SACYL,2019
050049,CLÍNICA SANTA TERESA,"AV. SANTA CRUZ DE TENERIFE, 11",920252525,920221450,920222342,05005,33,N,N,N,,N,N,S,,S,direccion@clinicasantateresa.es,,CASTILLA Y LEÓN,ÁVILA,Ávila,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
050061,COMPLEJO ASISTENCIAL DE AVILA,"AVDA. JUAN CARLOS I, S/N",920358000,,920358064,05071,430,S,S,N,,N,N,S,,N,gerente.hnss@saludcastillayleon.es,,CASTILLA Y LEÓN,ÁVILA,Ávila,GENERAL,ENTIDADES PÚBLICAS,SANIDAD CASTILLA Y LEÓN-SACYL,2019
050072,HOSPITAL DE SALUD MENTAL CASTA SALUD ARÉVALO,"PASEO SAN JUAN BOSCO, 2",920301400,609196989,920300951,05200,80,N,N,N,,S,N,N,,S,direccionarevalo@castasalud.com,,CASTILLA Y LEÓN,ÁVILA,Arévalo,PSIQUIÁTRICO,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
060016,COMPLEJO HOSPITALARIO UNIVERSITARIO DE BADAJOZ,"AVDA. DE ELVAS, S/N",924218100,924218111,924218126,06080,915,S,S,N,,N,N,S,,N,admision.hifc@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060021,HOSPITAL UNIVERSITARIO DE BADAJOZ,"AVDA. DE ELVAS, S/N",924218100,924218111,924218126,06080,0,S,N,S,060016,N,N,S,,N,admision.hifc@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060037,HOSPITAL MATERNO INFANTIL,"LA VIOLETA, 1",924215000,,924215054,06010,0,S,N,S,060016,N,N,S,,N,dirmed.hpshmi@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Badajoz,MATERNO-INFANTIL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060080,"HOSPITAL ""FUNDACIÓN SAN JUAN DE DIOS DE EXTREMADURA""","PASEO DE LA PIEDAD, 5",924670017,924670018,924662805,06200,105,N,N,N,,N,N,N,,S,almendralejosjd.es,,EXTREMADURA,BADAJOZ,Almendralejo,GERIATRÍA Y/O LARGA ESTANCIA,PRIVADO-BENÉFICO (IGLESIA),PRIVADO-BENÉFICO (IGLESIA),2019
060093,HOSPITAL DON BENITO-VILLANUEVA DE LA SERENA,"CTRA. DON BENITO-VILLANUEVA DE LA SERENA, KM. 3",924386800,,924386801,06400,0,S,N,S,060253,N,N,N,,N,ricardo.sanchez@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Don Benito,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060114,HOSPITAL GENERAL DE LLERENA,"AVDA. BADAJOZ, 1",924877000,,924870926,06900,0,S,N,S,060219,N,N,N,,N,gerente.llerena@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Llerena,GENERAL,SEGURIDAD SOCIAL,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060129,HOSPITAL DE MÉRIDA,"AVDA. ANTONIO CAMPOS HOYOS, Nº 26",924381000,924381002,924381012,06800,0,S,N,S,060264,N,N,N,,N,julian.garciam@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Mérida,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060135,CENTRO SOCIOSANITARIO DE MÉRIDA,"CTRA. VALVERDE-MÉRIDA, KM. 2",924388081,,924388083,06800,270,S,N,N,,N,N,N,,N,csanitario.merida@gobex.es,D. Funcional: SEPAD (Ente Público adscrito a la Consejería de Sanidad y Dependencia).,EXTREMADURA,BADAJOZ,Mérida,PSIQUIÁTRICO,COMUNIDAD AUTÓNOMA,COMUNIDAD AUTÓNOMA,2019
060140,HOSPITAL QUIRÓNSALUD SANTA JUSTA,"CONCEPCIÓN, 24",924840746,,924847505,06700,29,N,N,N,,N,N,N,,S,serena@quironsalud.es,,EXTREMADURA,BADAJOZ,Villanueva de la Serena,QUIRÚRGICO,MUNICIPIO,PRIVADO NO BENÉFICO,2019
060172,HOSPITAL QUIRONSALUD CLIDEBA,"ELADIO SALINERO DE LOS SANTOS, 6",924229050,,924257859,06011,73,N,N,N,,N,N,S,,S,clideba@quironsalud.es,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
060188,HOSPITAL PARQUE VIA DE LA PLATA,"CTRA. DE LOS SANTOS, S/N",924552755,,924555388,06300,9,N,N,N,,N,N,N,,S,dadministracion.ext@parquehospitales.es,,EXTREMADURA,BADAJOZ,Zafra,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
060208,HOSPITAL DE ZAFRA,"CRTA. BADAJOZ-GRANADA, S/N",924029200,,942029320,06300,0,S,N,S,060219,N,N,N,,N,gerente.llerena@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Zafra,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060219,COMPLEJO HOSPITALARIO LLERENA-ZAFRA,"AVDA. BADAJOZ, 1",924877000,,924870926,06900,227,S,S,N,,N,N,N,,N,gerente.llerena@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Llerena,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060220,HOSPITAL PERPETUO SOCORRO,"AVDA. DAMIÁN TÉLLEZ LAFUENTE, S/N",924215000,,924215024,06010,0,S,N,S,060016,N,N,S,,N,submed.hpshmi@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060231,HOSPITAL SIBERIA-SERENA,CRTRA TALARRUBIAS-AGUDO KM2,924648100,,924648111,06640,0,N,N,S,060253,N,N,N,,N,tatiana.santiago@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Talarrubias,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060242,HOSPITAL TIERRA DE BARROS,"CRTA. NAL 630, KM 654,300",924699200,,924699214,06200,0,N,N,S,060264,N,N,N,,N,julian.garciam@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Almendralejo,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060253,COMPLEJO H. DON BENITO-VVA DE LA SERENA,"AVDA. ALONSO MARTÍN, 8",924382800,924386806,924386801,06400,320,S,S,N,,N,N,N,,N,gerente.donbenito@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Don Benito,GENERAL,COMUNIDAD AUTÓNOMA,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060264,COMPLEJO HOSPITALARIO DEL ÁREA DE SALUD DE MÉRIDA,"AVDA. ANTONIO CAMPOS HOYOS, Nº 26",924381000,,924381012,06800,381,S,S,N,,N,N,N,,N,julian.garciam@salud-juntaex.es,,EXTREMADURA,BADAJOZ,Mérida,GENERAL,ENTIDADES PÚBLICAS,SERVICIO EXTREMEÑO DE SALUD-SES,2019
060275,CASAVERDE. CENTRO DE REHABILITACIÓN NEUROLÓGICO DE EXTREMADURA,"AVDA. ADOLFO SUÁREZ GONZÁLEZ, 56",924380330,,924577213,06800,100,N,N,N,,N,N,N,,S,direccion.merida@grupocasaverde.com,,EXTREMADURA,BADAJOZ,Mérida,REHABILITACIÓN PSICOFÍSICA,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
060286,CLÍNICA EXTREMEÑA DE SALUD,FEDERICO MAYOR ZARAGOZA S/N,924211818,,924270888,06006,20,S,N,N,,N,N,S,,S,,,EXTREMADURA,BADAJOZ,Badajoz,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
060297,HOSPITAL PARQUE VEGAS ALTAS,AVDA. MADRID 12,924805050,,924812690,06400,21,N,N,N,,N,N,N,,S,dadministracion.ext@parquehospitales.es,,EXTREMADURA,BADAJOZ,Don Benito,GENERAL,PRIVADO NO BENÉFICO,PRIVADO NO BENÉFICO,2019
070048,HOSPITAL GENERAL DE MALLORCA,"PZA DEL HOSPITAL, 3",871205000,,971212383,07012,100,N,N,N,,N,N,S,,S,andres.recober@ssib.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,GERIATRÍA Y/O LARGA ESTANCIA,DIPUTACIÓN O CABILDO,COMUNIDAD AUTÓNOMA,2019
070051,HOSPITAL PSIQUIÀTRIC,"CAMÍ DE JESÚS, 40",871205000,,971212383,07010,168,N,N,N,,N,N,S,,S,andres.recober@ssib.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,PSIQUIÁTRICO,DIPUTACIÓN O CABILDO,COMUNIDAD AUTÓNOMA,2019
070064,CLÍNICA MUTUA BALEAR,"BISBE CAMPINS, 4",971213400,971213419,971715858,07012,40,S,N,N,,N,N,S,,S,rmunyoz@mutuabalear.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,TRAUMATOLOGÍA Y/O REHABILITACIÓN,MATEP,MATEP,2019
070070,HOSPITAL DE LA CRUZ ROJA ESPAÑOLA,"PONS Y GALLARZA, 90",971751445,,971761101,07004,73,N,N,N,,N,N,S,,S,tacaji@cruzroja.es,,BALEARES,ILLES BALEARS,Palma de Mallorca,MÉDICO-QUIRÚRGICO,PRIVADO-BENÉFICO (CRUZ ROJA),PRIVADO-BENÉFICO (CRUZ ROJA),2019
